# TEY data for sample P950-AlO2 2
# time(s)	normalized_TEY
1.596254e+01	1.901420e-06
1.607100e+01	1.863039e-06
1.617807e+01	1.860736e-06
1.628817e+01	1.912167e-06
1.639631e+01	1.881461e-06
1.650328e+01	1.908328e-06
1.661104e+01	1.896814e-06
1.671728e+01	1.918308e-06
1.682596e+01	1.882229e-06
1.693416e+01	1.876856e-06
1.704165e+01	1.876088e-06
1.714984e+01	1.886068e-06
1.725736e+01	1.861502e-06
1.736547e+01	1.899885e-06
1.747973e+01	1.881461e-06
1.758907e+01	1.898349e-06
1.769551e+01	1.868412e-06
1.780376e+01	1.923681e-06
1.791142e+01	1.902955e-06
1.802158e+01	1.826192e-06
1.813498e+01	1.870715e-06
1.824127e+01	1.885299e-06
1.834898e+01	1.916773e-06
1.845543e+01	1.901420e-06
1.856304e+01	1.908328e-06
1.867000e+01	1.899885e-06
1.877826e+01	1.868412e-06
1.888749e+01	1.901420e-06
1.899759e+01	1.893744e-06
1.910648e+01	1.893744e-06
1.921481e+01	1.895279e-06
1.932573e+01	1.886068e-06
1.943465e+01	1.929054e-06
1.954390e+01	1.902955e-06
1.965318e+01	1.881461e-06
1.976068e+01	1.867644e-06
1.986907e+01	1.886835e-06
1.997761e+01	1.884533e-06
2.008810e+01	1.893744e-06
2.019765e+01	1.875320e-06
2.030532e+01	1.886068e-06
2.041265e+01	1.932892e-06
2.052172e+01	1.906025e-06
2.062948e+01	1.909863e-06
2.073828e+01	1.906793e-06
2.084627e+01	1.874553e-06
2.095534e+01	1.885299e-06
2.106257e+01	1.891441e-06
2.117192e+01	1.896814e-06
2.127931e+01	1.871482e-06
2.138989e+01	1.856129e-06
